Date,1st instar,2nd instar,3rd instar,4th instar,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs
2016-10-20 12:00 AM,,,,,,,,,,,20,,
2016-10-22 12:00 AM,19,,,,,,,,,,20,,
2016-10-24 12:00 AM,37,,,,,,,,,,20,,
2016-10-26 12:00 AM,49,6,,,,,,,,,20,,
2016-10-28 12:00 AM,66,8,,,,,,,,,20,,
2016-10-30 12:00 AM,73,18,,,,,,,,,20,,
2016-11-01 12:00 AM,52,6,11,,,,,,,,20,,
2016-11-03 12:00 AM,55,7,14,,,,,,,,20,,
2016-11-05 12:00 AM,53,9,14,,,,,,,,20,,
2016-11-07 12:00 AM,32,10,18,,,,,,,,20,,
2016-11-09 12:00 AM,36,10,12,3,,,,,,,20,,
2016-11-11 12:00 AM,33,4,17,4,,,,,,,20,,
2016-11-13 12:00 AM,29,2,16,5,2,,,,,,20,,
2016-11-15 12:00 AM,26,8,13,3,3,,,,,,20,,
2016-11-17 12:00 AM,21,12,9,2,6,,,,,,20,,
2016-11-19 12:00 AM,20,12,11,2,6,,,,,,20,,
2016-11-21 12:00 AM,23,5,14,4,7,,,,,,20,,
2016-11-23 12:00 AM,19,3,12,7,3,,,,,,20,,
2016-11-25 12:00 AM,8,3,14,5,1,5,,,,,20,,
2016-11-27 12:00 AM,10,6,10,3,4,4,,,,,20,,
2016-11-29 12:00 AM,11,2,10,4,3,4,,,,,20,,
2016-12-01 12:00 AM,9,1,6,5,6,3,,,,,20,,
2016-12-03 12:00 AM,16,,4,4,5,4,,,,,,,
2016-12-05 12:00 AM,12,2,3,2,5,6,,,,,,,
2016-12-07 12:00 AM,4,1,2,1,4,4,,1,,,,,
2016-12-09 12:00 AM,,2,4,2,3,4,,1,,,,,
2016-12-11 12:00 AM,,2,3,,2,5,,1,,,,,
2016-12-13 12:00 AM,,1,3,1,2,5,,1,,,,,
2016-12-15 12:00 AM,,1,2,,,3,,1,,,,,
2016-12-17 12:00 AM,,,1,1,,3,,1,,,,,
2016-12-19 12:00 AM,,,1,1,,3,,1,,,,,
2016-12-21 12:00 AM,,,1,1,,2,1,,,1,,,
2016-12-23 12:00 AM,,,,2,,2,1,,,,,,
2016-12-25 12:00 AM,,,,1,1,2,1,,,,,,
2016-12-27 12:00 AM,,,,,1,1,1,1,,,,,
2016-12-29 12:00 AM,,,,,1,,1,1,,,,,
2016-12-31 12:00 AM,,,,,,1,,,1,1,,,
2017-01-02 12:00 AM,,,,,,1,,,,,,,
2017-01-04 12:00 AM,,,,,,1,,,,,,,
2017-01-06 12:00 AM,,,,,,1,,,,,,,
2017-01-08 12:00 AM,,,,,,,,,,,,,
